"INDID","HHID","KARGO_USER_ID","ASSIGNED_MATCH_CODE","ASSIGNED_MATCH_LEVEL"
"ce6428bd6421f9727ae4f0cc48249e4d","315453555655950d105ac0f919243c5a","kg-user-a7e128c045f89dc8a628ae1d325efdbe","IPA1","HOUSEHOLD"
"fe0a3ca954ac41add680366858d729f7","98c2818532b8411c7071c1f6b83a09a4","kg-user-e71ee8f2854004042032c4549e9f0708","MDI1","INDIVIDUAL"
"b77341075b381085d560a821f2c246e1","3b6d07a69b9154b02081432374b9099c","kg-user-1933414571f543a793927bf0f2c6079f","IPA1","HOUSEHOLD"
"56afd26605a1929f503851825210df73","8d389f50bea936a27243ea3f6c58f8eb","kg-user-599143bd0242f7ca579680e2bd4d77f3","MDI1","INDIVIDUAL"
"30cedfbb0e02e79492a9c96958de43e7","d50697147f3f8c1cbd99a8a1fb234783","kg-user-19d8c6bdbb05ea05150643d3f7693126","MDI1","INDIVIDUAL"
"b2e711f176890ed12b26494244872a53","c3afcab3e7ed3365f7047d3b942ac32e","kg-user-20669d99528d4687111e8220f4f8ebf4","MDI1","INDIVIDUAL"
"0acf7312010dd3b0ea39da115b64ef1c","a0d6e5e4ffc11fac78442a5681a04d92","kg-user-7ec684e48edb6e1acc73da3fd23c3157","IPA1","HOUSEHOLD"
"ba13d817ad175ec45011a8b819629d82","5d7c42dda3be8c0eb27ff0ef91a386b5","kg-user-a9a940b1458bde3ac3931eb910f2db4a","IPA1","HOUSEHOLD"
"43ac4635dc9a0cec7366f47a4393cb5d","60ee92811cc14a32009fdfdbc46a55d0","kg-user-b18b21bab52c4354e3b9ce84857244b6","IPA1","HOUSEHOLD"
"8be286ad667741841bacdd46649a1296","0e8eb27cceba4eb5dea9ea112369e5bb","kg-user-7e8a5c2d9b7f94a8f8c0c8a4511b9022","MDI1","INDIVIDUAL"
"22724691df8d04961c77b90dae2211f3","5c3a8a042f64b473b9d19feceb7e5bcf","kg-user-ca02fe8685e9eb3274fc980b5cc4ea8f","IPA1","HOUSEHOLD"
"fa98db1279c43bc07e83bccd86d70018","c41d1d1a89882ada0e936b7532b0910a","kg-user-782b41625b101356112a8c06daaf6d61","IPA1","HOUSEHOLD"
"c9715d74438a56cc6a23e2ac78320b1b","b7cde9cf92e6ecc0cb0beb40114f7b18","kg-user-4af8e09f77db17271251f55d4d932a8a","IPA1","HOUSEHOLD"
"e5adf94dd58cf596c798e0ad5179add2","e04c8a4a14a6d16772ff9c3cdd5368bf","kg-user-760a99802faa2f75a7995533d2a135ee","IPA1","HOUSEHOLD"
"6c7c07d5c433bedd2c7082383351dcee","373e4e5843541b5cf389f70955ff1c81","kg-user-843fd5e033508286a26b90755827b7f8","MDI1","INDIVIDUAL"
"95599dd480ea2ca1edcfe9c5aa8eead9","e6107172842bb42c13bd1ed731bdbfaf","kg-user-3ff0a1baaac04960d45956783dd9e3a9","IPA1","HOUSEHOLD"
