"INDID","HHID","PUBMATIC_USER_ID","ASSIGNED_MATCH_CODE","ASSIGNED_MATCH_LEVEL"
"e0447dae12b927d1adb2a5eb50a09b9b","a3681ade901df99820c4755b07a9c54c","pm-user-05ffb5cc2edcd3846901c18cb8c95594","HEM1","INDIVIDUAL"
"0dafa733b3add7350f01bb34f57b7c4b","f435492a70b8ff6fe5051abf9eb45931","pm-user-7c676948e1bccf03ad3d0beff33effea","HEM1","INDIVIDUAL"
"78dffc7eaa05b06f6cd82241a534d00c","4b5d62316d5010433798a931a0c137ec","pm-user-8385c058d86b10dc6a9f05e71ea90815","IPA1","HOUSEHOLD"
"88d888b9b9c3d28b142a9c5eec33c076","29a977656f244890bc3f5aa453d03b54","pm-user-54ed0f383586991d50b443d3fc355110","IPA1","HOUSEHOLD"
"1035a8538a843199da0ae04d7d7d88a8","32e508f81d1d487b2c22ee7b53eddfec","pm-user-9af0749730c6cfff4cf2e24501fbf58d","IPA1","HOUSEHOLD"
"b86c3a968ae1c23839e408c9b78f3191","626cf78f046e5904afdbe3a5d2950202","pm-user-7d661fb92b16a2f0ee4aa83d10952015","IPA1","HOUSEHOLD"
"6728f323b0b10a9f499f28fd82457fc8","58f24847fcd38ceda2714b6a8fca92da","pm-user-4235245cc871fb24d03032d76f23d45c","IPA1","HOUSEHOLD"
"c7dc837922824c76d9843e4eb7af9adb","1d4021126844e77471aae7a787e76fb2","pm-user-91325d2c102fdb346bb0dc08792159b2","HEM1","INDIVIDUAL"
"57e6f0e4d6b5d757e1c07045890ceac4","5e1d57aa8dba0edd95b9da13d7d488f2","pm-user-8467de2ffa9a383e2cddef359be0463f","MDI1","INDIVIDUAL"
"62e9fa105c6502b730dd7d3efe7e2cea","c8ad27599b3d5f1cad8e9b68bf200b50","pm-user-653c9660349423acee1bab7a83964c4b","HEM1","INDIVIDUAL"
"9597db0c8eeb85def29f864644882874","b75692f4bf8ad3a33acbbc42b02c98f1","pm-user-a081250db6afb894663193766d2b29ef","MDI1","INDIVIDUAL"
"f1bdcf47d5eaca474c819037bfb1cb0a","068f8af601273dc72a96cae1087bb9d2","pm-user-1a2fba3899310fcccd950026508bffca","HEM1","INDIVIDUAL"
"563e3ae0ba7ffff6407cb7d4d5278ae7","edf6eac400aa70cc6c813106a994f084","pm-user-96a75ba10993f09a920fa0c2a6433899","HEM1","INDIVIDUAL"
